id,name,address,cuisine,description,openingHours,imageUrl,websiteUrl,lat,lon
1,"La Madrina Pizzeria","Calle de la Luna, 22, 28004 Madrid","Italian","Auténtica pizza napolitana horneada en horno de leña. Ingredientes frescos y un ambiente familiar en el corazón de Malasaña.","13:00-16:00 / 20:00-23:30","https://picsum.photos/seed/lamadrina/400/300","https://www.lamadrina-pizzeria.es",40.4233,-3.7045
2,"Taco-lipsis Now","Carrer del Tallers, 70, 08001 Barcelona","Mexican","Tacos de autor con un toque apocalíptico. Explosiones de sabor en cada bocado. ¡Prueba nuestra salsa especial de habanero!","12:30-00:00","https://picsum.photos/seed/tacolipsis/400/300","https://www.tacolipsis-now.com",41.3835,2.1665
3,"El Secreto del Faraón","Plaça de la Reina, 5, 46003 València","Egyptian","Un viaje culinario al antiguo Egipto. Disfruta de nuestro Koshari, Shawarma y dulces tradicionales en un ambiente único.","13:00-16:30 / 20:30-23:00","https://picsum.photos/seed/faraon/400/300","https://www.elsecretodelfaraon.es",39.4741,-0.3750
4,"Curry Kingdom","Calle Betis, 5, 41010 Sevilla","Indian","Los sabores más auténticos de la India en Sevilla. Platos cocinados a fuego lento con especias seleccionadas por nuestro chef.","13:00-16:00 / 20:00-23:30","https://picsum.photos/seed/currykingdom/400/300","https://www.currykingdom-sevilla.es",37.3821,-5.9961
5,"Verde Esmeralda","Licenciado Poza Kalea, 45, 48011 Bilbao","Vegan","Cocina 100% vegetal, creativa y deliciosa. Demostramos que la comida vegana puede ser sorprendente y llena de sabor.","13:30-15:30 / 20:30-22:30","https://picsum.photos/seed/verdeesmeralda/400/300","https://www.verde-esmeralda.com",43.2625,-2.9375
6,"Ceviche 101","Av. Mariscal La Mar 1285, Miraflores 15074, Lima, Perú","Peruvian","La frescura del Pacífico en tu plato. Especialistas en ceviches, tiraditos y causas. Pisco Sours para acompañar.","12:00-17:00 / 19:00-23:00","https://picsum.photos/seed/ceviche101/400/300","https://www.ceviche101.pe",-12.1150,-77.0433
7,"Le Petit Bistrot","Calle del Coso, 86, 50001 Zaragoza","French","El encanto de un bistró parisino en Zaragoza. Clásicos como el confit de pato, la sopa de cebolla y los mejores quesos franceses.","13:45-15:45 / 21:00-23:00","https://picsum.photos/seed/lepetitbistrot/400/300","https://www.lepetitbistrot-zgz.es",41.6521,-0.8787
8,"Bangkok Express","Calle Carretería, 96, 29008 Málaga","Thai","Comida callejera tailandesa auténtica y sabrosa. Pad Thai, curries y sopas preparadas al momento en nuestros woks.","13:00-16:00 / 19:30-23:00","https://picsum.photos/seed/bangkokexpress/400/300","https://www.bangkokexpress-malaga.com",36.7235,-4.4223
9,"Fuego & Brasa","Defensa 855, C1065 CABA, Buenos Aires, Argentina","Argentinian Steakhouse","La catedral de la carne argentina. Cortes premium madurados y cocinados a la perfección en nuestra parrilla de leña.","12:00-16:00 / 20:00-01:00","https://picsum.photos/seed/fuegoybrasa/400/300","https://www.fuegoybrasa.com.ar",-34.6186,-58.3712
10,"Océano Atlántico","Rúa da Franxa, 46, 15001 A Coruña","Seafood","Del mar a la mesa. Pescados y mariscos de las rías gallegas con una elaboración sencilla que respeta el producto.","13:00-15:30 / 20:30-23:00","https://picsum.photos/seed/oceanoatlantico/400/300","https://www.restauranteoceano.es",43.3705,-8.3965
